File_Name,Date,Max_Size_1,Max_Size_2
a32.csv,1995057,41,21
a14.csv,1980349,30,20
a50.csv,2003096,10,1
a05.csv,1979301,15,10
a41.csv,1999031,13,8
a23.csv,1986271,56,39
a76.csv,2021134,89,14
a58.csv,2008188,11,2
a49.csv,2003001,10,1
a67.csv,2016001,8,4
a72.csv,2021022,11,4
a36.csv,1998123,14,7
a54.csv,2006050,30,13
a09.csv,1980013,20,10
a81.csv,2023027,28,25
a45.csv,2001245,13,4
a27.csv,1994275,14,6
a63.csv,2012344,11,3
a01.csv,1978295,45,25
a10.csv,1980041,20,15
a70.csv,2021008,8,5
a34.csv,1996245,22,21
a16.csv,1981319,35,15
a52.csv,2003040,22,10
a07.csv,1979315,25,10
a25.csv,1986292,28,8
a61.csv,2010024,14,4
a78.csv,2021239,18,4
a69.csv,2020178,19,10
a74.csv,2021064,30,18
a38.csv,1998284,80,26
a56.csv,2010318,15,7
a47.csv,2003005,14,9
a29.csv,1989358,20,10
a65.csv,2016001,9,3
a03.csv,1979035,25,10
a21.csv,1986208,29,22
a12.csv,1980202,15,10
a30.csv,1991076,15,9
a33.csv,1994163,30,15
a51.csv,2002300,14,2
a15.csv,1981081,30,12
a42.csv,1999136,20,5
a06.csv,1979308,25,10
a24.csv,1986271,52,49
a77.csv,2021232,27,4
a59.csv,2008188,13,4
a68.csv,2017244,82,25
a37.csv,1998123,10,7
a73.csv,2021022,9,5
a55.csv,2008041,15,4
a19.csv,1983107,17,12
a46.csv,2003005,11,4
a64.csv,2014101,16,11
a28.csv,1989267,22,10
a02.csv,1978316,30,10
a20.csv,1986026,52,52
a11.csv,1980125,25,10
a35.csv,1996343,19,16
a71.csv,2021008,8,3
a53.csv,2005009,35,16
a17.csv,1983107,25,23
a44.csv,2001035,13,4
a08.csv,1979357,25,10
a62.csv,2012036,14,5
a26.csv,1987277,16,8
a79.csv,2022070.0,9.5,3.0
a39.csv,1998298,15,10
a75.csv,2021085,8,3
a57.csv,2008146,19,5
a48.csv,2003026,10,9
a66.csv,2016001,7,4
a40.csv,1999031,19,6
a04.csv,1979294,30,10
a22.csv,1986271,45,43
a13.csv,1980223,30,10
a31.csv,1991090,20,9
